Data;Close;;;;;
16.09.2024;17.65;;;;;
13.09.2024;18.18;;;;;
12.09.2024;17.75;;;;;
11.09.2024;17.37;;;;;
10.09.2024;17.55;;;;;
09.09.2024;16.99;;;;;
06.09.2024;16.69;;;;;
05.09.2024;17.1;;;;;
04.09.2024;17.35;;;;;
03.09.2024;17.74;;;;;
02.09.2024;17.97;;;;;
30.08.2024;17.84;;;;;
29.08.2024;18.72;;;;;
28.08.2024;17.86;;;;;
27.08.2024;18.7;;;;;
26.08.2024;19.3;;;;;
23.08.2024;18.6;;;;;
22.08.2024;18.45;;;;;
21.08.2024;18.16;;;;;
20.08.2024;18.12;;;;;
19.08.2024;17.99;;;;;
16.08.2024;17.83;;;;;
15.08.2024;18.39;;;;;
14.08.2024;18.19;;;;;
13.08.2024;18.44;;;;;
12.08.2024;18.47;;;;;
09.08.2024;18.71;;;;;
08.08.2024;18.47;;;;;
07.08.2024;17.42;;;;;
06.08.2024;17.3;;;;;
05.08.2024;17;;;;;
02.08.2024;20.05;;;;;
01.08.2024;19.75;;;;;
31.07.2024;20.87;;;;;
30.07.2024;20.83;;;;;
29.07.2024;21.3;;;;;
26.07.2024;21.15;;;;;
25.07.2024;20.28;;;;;
24.07.2024;20.8;;;;;
23.07.2024;20.8;;;;;
22.07.2024;20.89;;;;;
19.07.2024;20.42;;;;;
18.07.2024;19.91;;;;;
17.07.2024;20.32;;;;;
16.07.2024;20.13;;;;;
15.07.2024;19.68;;;;;
12.07.2024;18.07;;;;;
11.07.2024;18.01;;;;;
10.07.2024;18.18;;;;;
09.07.2024;18.01;;;;;
08.07.2024;17.69;;;;;
05.07.2024;17.78;;;;;
04.07.2024;18.07;;;;;
03.07.2024;19.01;;;;;
02.07.2024;19.63;;;;;
01.07.2024;20.01;;;;;
28.06.2024;19.34;;;;;
27.06.2024;19.66;;;;;
26.06.2024;19.53;;;;;
25.06.2024;19.63;;;;;
24.06.2024;19.42;;;;;
21.06.2024;20.26;;;;;
